match_id,event_id,scout_name,team_num,match_num,auton_midline,auton_scored_high,auton_shot_high,auton_high_percent,auton_scored_low,auton_shot_low,auton_low_percent,auton_gears,auton_rotors,driver_skill,human_skill,defense_skill,shooter_range,bot_type,fuel_loading_method,high_balls_scored,high_balls_shot,high_balls_percent,low_balls_scored,low_balls_shot,low_balls_percent,gears_loading_method,gears_placed,gears_attempted,teleop_rotors,climb,comments
1,1,Mei Rose,103,1,yes,0,0,0,0,0,0,1,1,4,4,3,UNKNOWN,Gear,UNKNOWN,0,0,0,0,0,0,Human,4,4,3,yes,fast
2,1,Mei Rose,341,2,yes,0,0,0,0,0,0,1,1,4,4,4,UNKNOWN,Stand-Alone,Floor,0,0,0,0,0,0,Human,3,3,2,no,halfway climb
3,1,Mei Rose,1218,3,yes,0,0,0,0,0,0,0,1,3,3,4,UNKNOWN,Gear,Autoloader,0,0,20,0,0,0,Floor,2,2,2,no,
4,1,Mei Rose,225,4,yes,0,0,0,0,0,0,0,0,3,3,3,UNKNOWN,Gear,Human,0,4,0,0,0,0,Human,2,3,0,no,
5,1,Ava Peri,423,4,yes,0,0,0,0,0,0,0,0,3,3,3,UNKNOWN,Gear,UNKNOWN,0,0,0,0,0,0,Human,2,2,1,yes,decent with gears
6,1,Connor,2539,4,no,0,0,0,0,0,0,0,0,3,3,3,UNKNOWN,Gear,UNKNOWN,0,0,0,0,0,0,Human,4,4,2,yes,
7,1,David Evans,2095,4,yes,0,0,0,0,0,0,0,0,2,3,3,UNKNOWN,Defender,UNKNOWN,0,0,0,0,0,0,UNKNOWN,0,0,0,no,"defender, swerve"
8,1,Trey,5404,3,yes,0,0,0,0,0,0,1,1,3,3,2,UNKNOWN,Gear,UNKNOWN,0,0,0,0,0,0,Human,1,1,2,no,
9,1,David Evans,321,3,yes,0,0,0,0,0,0,0,0,3,3,2,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,Human,2,3,0,no,fast strong
10,1,Ava,486,3,yes,0,0,0,0,0,0,0,0,3,3,3,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,Floor,2,3,0,yes,trouble with gears at first but got better
11,1,Connor,3974,3,yes,0,0,0,0,0,0,0,0,3,2,3,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,Floor,3,3,3,yes,
12,1,Justin,1811,3,yes,0,0,0,0,0,0,0,0,5,5,3,UNKNOWN,Gear,UNKNOWN,0,0,0,0,0,0,Human,3,3,3,yes,fast very
13,1,Connor,4342,2,yes,0,0,0,0,0,0,0,1,2,2,2,UNKNOWN,Gear,UNKNOWN,0,0,0,0,0,0,UNKNOWN,0,2,0,yes,
14,1,Justin,484,2,yes,0,0,0,0,0,0,1,1,4,5,2,UNKNOWN,Gear,UNKNOWN,0,0,0,0,0,0,Human,2,2,1,yes,
15,1,Ava,5420,2,yes,0,0,0,0,0,0,0,0,2,2,3,UNKNOWN,Gear,UNKNOWN,0,0,0,0,0,0,Human,1,2,0,no,didnt accomplish much
16,1,Trey,2495,1,no,0,0,0,0,0,0,0,0,2,3,3,UNKNOWN,Stand-Alone,Human,0,0,0,0,0,0,Human,0,0,0,no,disregard type and fuel load
17,1,Connor,4454,1,no,2,10,2,0,0,0,0,0,3,3,3,UNKNOWN,Shooter,UNKNOWN,0,0,0,0,0,0,Human,0,0,2,yes,brought 2 gears to 708 instead of scoring them
18,1,David Evans,5181,1,yes,0,0,0,0,0,0,0,0,2,3,3,UNKNOWN,UNKNOWN,Autoloader,0,0,0,0,0,0,UNKNOWN,2,2,1,no,trouble getting gear on peg
19,1,Ava,708,1,yes,0,0,0,0,0,0,0,0,4,3,3,UNKNOWN,Stand-Alone,UNKNOWN,0,0,80,0,0,0,Floor,4,4,0,yes,"25 pts in penalties, good shooter"
20,1,Justin,304,1,yes,0,0,0,0,0,0,0,0,3,5,3,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,Human,3,3,2,no,struggled getting gears from human didnt finish climb in time
21,1,David Evans,1168,1,yes,0,0,0,0,0,0,0,0,3,3,2,UNKNOWN,Gear,UNKNOWN,0,0,0,0,0,0,Human,2,2,1,no,stuck while climbing
22,1,Trey,2234,4,yes,0,0,0,0,0,0,0,0,2,3,1,UNKNOWN,Shooter,Floor,0,4,0,0,0,0,Human,0,1,2,no,
23,1,Justin,204,4,yes,0,5,0,0,0,0,0,0,1,5,3,UNKNOWN,Stand-Alone,Floor,0,0,0,0,0,0,UNKNOWN,0,0,3,no,slow climber didnt do much
24,1,Alex,5420,11,yes,0,0,0,0,0,0,3,2,4,4,4,UNKNOWN,UNKNOWN,Autoloader,0,0,0,0,0,0,UNKNOWN,2,2,3,yes,
25,1,Sanjna,433,11,no,0,0,0,0,0,0,0,0,2,3,1,UNKNOWN,Gear,UNKNOWN,0,0,0,0,0,0,Human,3,3,0,yes,"no auto, sometimes interfered with ally"
26,1,Marc,2495,11,no,0,0,0,0,0,0,0,0,1,3,1,UNKNOWN,Gear,Human,0,0,0,0,0,0,UNKNOWN,0,0,0,no,didnt really do anything
27,1,Cole,203,11,yes,0,0,0,0,0,0,1,0,3,3,3,UNKNOWN,Gear,Autoloader,0,0,0,0,0,0,Human,0,1,2,no,blocked 341 from scoring didnt climb high enough
28,1,Jagger,1811,11,no,0,0,0,0,0,0,0,1,3,3,3,UNKNOWN,UNKNOWN,Human,0,0,0,0,0,0,UNKNOWN,3,3,2,yes,collided with teammate very long gear cycle
29,1,David Evans,4373,10,yes,0,0,0,0,0,0,0,0,3,3,4,UNKNOWN,Defender,UNKNOWN,0,0,0,0,0,0,Human,1,1,0,yes,"5 pts penalty trouble getting on peg, got Y card"
30,1,Connor,304,10,no,0,0,0,0,0,0,0,0,2,3,2,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,UNKNOWN,1,2,2,no,tipped
31,1,Mei Rose,2539,10,yes,0,0,0,0,0,0,0,0,3,3,3,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,Human,3,3,3,yes,"tipped opposing bot 5 pts penalty, auto failed to place gear"
32,1,Trey,225,10,no,0,2,0,0,0,0,0,0,4,3,2,UNKNOWN,UNKNOWN,Autoloader,0,0,0,0,0,0,UNKNOWN,0,0,3,no,
33,1,Ava,5490,10,yes,0,0,0,0,0,0,0,0,3,3,3,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,40,Human,0,1,0,no,tried to climb but not successful
34,1,Justin,3974,10,no,0,0,0,0,0,0,0,0,5,5,3,UNKNOWN,Gear,UNKNOWN,0,0,0,0,0,0,Floor,4,4,2,yes,good floor gear loader
35,1,Connor,204,9,yes,0,0,0,0,0,0,0,1,3,3,3,UNKNOWN,Defender,UNKNOWN,0,0,0,0,0,0,Human,0,0,2,no,played defense
36,1,Mei Rose,2191,9,yes,0,0,0,0,0,0,0,0,3,3,4,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,UNKNOWN,1,1,3,yes,"Red card, lot of trouble working with gears"
37,1,David Evans,1811,8,no,0,0,0,0,0,0,0,0,4,4,2,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,Human,4,4,0,no,fast
38,1,Trey,2590,9,yes,0,0,0,0,0,0,0,0,3,3,1,UNKNOWN,Gear,UNKNOWN,0,0,0,0,0,0,UNKNOWN,0,0,0,no,lost communication
39,1,Ava,5407,9,yes,0,0,0,0,0,0,0,0,3,3,3,UNKNOWN,Gear,UNKNOWN,0,0,0,0,0,0,Floor,2,2,0,no,
40,1,Justin,103,9,yes,0,0,0,0,0,0,1,1,2,5,3,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,0,0,Human,0,0,2,no,"gear jammed, was defended"
41,1,David Evans,708,8,yes,0,0,0,0,0,0,0,0,3,3,3,UNKNOWN,UNKNOWN,UNKNOWN,10,20,50,0,0,0,UNKNOWN,1,3,0,yes,trouble getting gear
42,1,Mei Rose,4342,8,yes,0,0,0,0,0,0,0,0,4,4,3,UNKNOWN,Gear,UNKNOWN,0,0,0,0,0,0,Human,3,3,2,yes,
43,1,Justin,4454,8,yes,5,7,85,0,0,0,0,0,3,3,3,UNKNOWN,Stand-Alone,UNKNOWN,0,0,0,0,0,0,Human,2,2,2,yes,slow gear cycle
44,1,Trey,423,8,yes,0,0,0,0,0,0,0,0,3,3,1,UNKNOWN,Gear,UNKNOWN,0,0,0,0,0,0,UNKNOWN,1,1,2,yes,
45,1,Ava,2095,8,yes,0,0,0,0,0,0,0,0,2,3,3,UNKNOWN,Shooter,UNKNOWN,0,0,0,0,0,0,UNKNOWN,0,0,0,no,tried low goal shots ended up driving around doing nothing
46,1,Connor,433,8,yes,0,0,0,0,0,0,0,0,3,3,3,UNKNOWN,Gear,UNKNOWN,0,0,0,0,0,0,Human,3,3,2,yes,
